method,average_local_error,class_aware_continuity,class_aware_trustworthiness,continuity,distance_consistency,false_neighbors,jaccard,missing_neighbors,mrre_data,mrre_proj,neighborhood_hit,normalized_stress,pearson_correlation,procrustes,scale_normalized_stress,shepard_goodness,true_neighbors,trustworthiness,projection,dataset,k,metric
magnetic_on_rescale,0.144,0.984,0.979,0.978,0.626,0.976,0.024,0.976,0.035,0.022,0.613,0.922,0.695,0.0,0.109,0.689,0.024,0.965,umap,fashionmnist,1,neighborhood_hit
delaunay,0.124,0.987,0.99,0.981,0.587,0.922,0.078,0.922,0.017,0.019,0.672,0.906,0.683,0.0,0.103,0.676,0.078,0.983,umap,fashionmnist,1,neighborhood_hit
projnn,0.126,0.988,0.99,0.983,0.6,0.929,0.071,0.929,0.018,0.017,0.676,0.908,0.695,0.0,0.099,0.687,0.071,0.982,umap,fashionmnist,1,neighborhood_hit
truenn,0.129,0.991,0.967,0.988,0.637,0.977,0.023,0.977,0.05,0.012,0.602,0.918,0.721,0.0,0.102,0.72,0.023,0.95,umap,fashionmnist,1,neighborhood_hit
rescaled,0.074,0.827,0.811,0.801,0.52,0.87,0.13,0.87,0.38,0.199,0.646,0.829,-0.209,0.0,0.825,-0.354,0.13,0.62,tsne,spambase,1,neighborhood_hit
magnetic,0.062,0.609,0.807,0.565,0.521,0.892,0.108,0.892,0.398,0.435,0.615,0.576,-0.036,0.0,0.522,-0.03,0.108,0.602,tsne,spambase,1,neighborhood_hit
magnetic_on_rescale,0.069,0.734,0.819,0.702,0.521,0.876,0.124,0.876,0.384,0.298,0.645,0.794,-0.199,0.0,0.794,-0.268,0.124,0.616,tsne,spambase,1,neighborhood_hit
delaunay,0.094,0.697,0.766,0.665,0.527,0.998,0.002,0.998,0.465,0.335,0.564,0.797,-0.193,0.0,0.784,-0.276,0.002,0.535,tsne,spambase,1,neighborhood_hit
projnn,0.112,0.793,0.775,0.768,0.641,0.993,0.007,0.993,0.446,0.232,0.582,0.427,-0.039,0.0,0.426,-0.017,0.007,0.554,tsne,spambase,1,neighborhood_hit
truenn,0.078,0.909,0.795,0.899,0.675,0.978,0.022,0.978,0.426,0.101,0.62,0.487,-0.015,0.0,0.462,0.026,0.022,0.573,tsne,spambase,1,neighborhood_hit
rescaled,0.343,0.728,0.841,0.64,0.79,0.954,0.027,0.954,0.387,0.337,0.641,1.155,0.181,0.975,0.623,0.246,0.046,0.574,tsne,spambase,51,neighborhood_hit
magnetic,0.316,0.729,0.843,0.641,0.79,0.965,0.02,0.965,0.408,0.336,0.66,1.0,0.184,0.967,0.62,0.231,0.035,0.554,tsne,spambase,51,neighborhood_hit
magnetic_on_rescale,0.316,0.729,0.843,0.641,0.79,0.965,0.02,0.965,0.408,0.336,0.66,1.0,0.184,0.967,0.62,0.231,0.035,0.554,tsne,spambase,51,neighborhood_hit
delaunay,0.298,0.721,0.852,0.633,0.789,0.965,0.02,0.965,0.449,0.35,0.691,0.943,0.178,0.982,0.597,0.212,0.035,0.549,tsne,spambase,51,neighborhood_hit
projnn,0.208,0.723,0.855,0.635,0.789,0.96,0.023,0.96,0.441,0.348,0.694,0.451,0.167,0.992,0.407,0.202,0.04,0.557,tsne,spambase,51,neighborhood_hit
truenn,0.121,0.797,0.892,0.723,0.789,0.931,0.039,0.931,0.391,0.224,0.758,0.42,0.216,1.056,0.419,0.247,0.069,0.596,tsne,spambase,51,neighborhood_hit
rescaled,0.347,0.923,0.909,0.841,0.583,0.866,0.134,0.866,0.237,0.159,0.789,0.845,0.143,0.0,0.34,0.153,0.134,0.763,tsne,reuters,1,neighborhood_hit
magnetic,0.353,0.903,0.826,0.818,0.576,0.916,0.084,0.916,0.345,0.182,0.657,0.856,0.141,0.0,0.334,0.153,0.084,0.655,tsne,reuters,1,neighborhood_hit
magnetic_on_rescale,0.353,0.903,0.826,0.818,0.576,0.917,0.083,0.917,0.345,0.182,0.657,0.856,0.141,0.0,0.334,0.153,0.083,0.655,tsne,reuters,1,neighborhood_hit
delaunay,0.34,0.92,0.832,0.836,0.572,0.987,0.013,0.987,0.352,0.164,0.696,0.848,0.109,0.0,0.27,0.115,0.013,0.648,tsne,reuters,1,neighborhood_hit
projnn,0.263,0.921,0.887,0.808,0.536,0.928,0.072,0.928,0.268,0.192,0.763,0.789,0.163,0.0,0.19,0.15,0.072,0.732,tsne,reuters,1,neighborhood_hit
truenn,0.392,0.953,0.807,0.923,0.563,0.934,0.066,0.934,0.34,0.077,0.654,0.898,-0.085,0.0,0.355,-0.134,0.066,0.66,tsne,reuters,1,neighborhood_hit
rescaled,0.133,0.987,0.99,0.98,0.648,0.747,0.159,0.747,0.017,0.018,0.677,0.912,0.725,0.993,0.101,0.72,0.253,0.983,tsne,fashionmnist,7,neighborhood_hit
magnetic,0.148,0.984,0.98,0.975,0.642,0.884,0.067,0.884,0.034,0.023,0.623,0.92,0.725,0.993,0.101,0.72,0.116,0.967,tsne,fashionmnist,7,neighborhood_hit
magnetic_on_rescale,0.148,0.984,0.98,0.975,0.642,0.884,0.067,0.884,0.034,0.023,0.624,0.92,0.725,0.993,0.101,0.72,0.116,0.967,tsne,fashionmnist,7,neighborhood_hit
delaunay,0.119,0.985,0.987,0.977,0.572,0.779,0.136,0.779,0.02,0.021,0.661,0.905,0.704,0.992,0.098,0.701,0.221,0.979,tsne,fashionmnist,7,neighborhood_hit
projnn,0.127,0.986,0.989,0.979,0.595,0.778,0.137,0.778,0.02,0.02,0.668,0.907,0.713,0.993,0.095,0.708,0.222,0.98,tsne,fashionmnist,7,neighborhood_hit
truenn,0.119,0.991,0.969,0.987,0.645,0.883,0.068,0.883,0.049,0.013,0.608,0.916,0.737,0.997,0.099,0.732,0.117,0.952,tsne,fashionmnist,7,neighborhood_hit
rescaled,0.287,0.913,0.948,0.854,0.311,0.687,0.198,0.687,0.068,0.122,0.614,0.912,0.13,0.992,0.394,0.158,0.313,0.92,isomap,mnist,51,neighborhood_hit
magnetic,0.294,0.88,0.814,0.815,0.311,0.888,0.064,0.888,0.223,0.167,0.386,0.92,0.128,0.993,0.383,0.153,0.112,0.776,isomap,mnist,51,neighborhood_hit
magnetic_on_rescale,0.294,0.881,0.814,0.815,0.311,0.888,0.064,0.888,0.223,0.166,0.386,0.92,0.128,0.993,0.383,0.153,0.112,0.776,isomap,mnist,51,neighborhood_hit
delaunay,0.304,0.909,0.896,0.852,0.415,0.807,0.112,0.807,0.131,0.125,0.492,0.927,0.12,0.991,0.275,0.138,0.193,0.861,isomap,mnist,51,neighborhood_hit
projnn,0.29,0.91,0.91,0.855,0.448,0.783,0.128,0.783,0.099,0.121,0.512,0.916,0.144,0.988,0.234,0.147,0.217,0.876,isomap,mnist,51,neighborhood_hit
truenn,0.347,0.914,0.81,0.855,0.425,0.857,0.081,0.857,0.225,0.11,0.425,0.943,0.125,0.995,0.29,0.13,0.143,0.768,isomap,mnist,51,neighborhood_hit
rescaled,0.358,0.809,0.751,0.589,0.464,0.929,0.042,0.929,0.396,0.343,0.595,0.89,-0.256,0.963,0.736,-0.347,0.071,0.597,tsne,reuters,51,neighborhood_hit
magnetic,0.352,0.731,0.669,0.505,0.347,0.978,0.012,0.978,0.459,0.466,0.434,0.889,-0.254,0.965,0.686,-0.285,0.022,0.527,tsne,reuters,51,neighborhood_hit
magnetic_on_rescale,0.352,0.731,0.669,0.505,0.347,0.978,0.012,0.978,0.459,0.466,0.434,0.889,-0.254,0.965,0.686,-0.285,0.022,0.527,tsne,reuters,51,neighborhood_hit
delaunay,0.356,0.733,0.659,0.516,0.354,0.98,0.01,0.98,0.475,0.454,0.413,0.886,-0.253,0.96,0.676,-0.249,0.02,0.528,tsne,reuters,51,neighborhood_hit
projnn,0.299,0.78,0.687,0.574,0.44,0.969,0.017,0.969,0.448,0.395,0.49,0.808,-0.086,0.965,0.282,-0.118,0.031,0.552,tsne,reuters,51,neighborhood_hit
truenn,0.375,0.857,0.727,0.683,0.434,0.95,0.028,0.95,0.423,0.234,0.545,0.886,-0.128,0.98,0.393,-0.171,0.05,0.573,tsne,reuters,51,neighborhood_hit
rescaled,0.209,0.971,0.986,0.955,0.425,0.82,0.108,0.82,0.023,0.042,0.636,0.945,0.27,0.987,0.409,0.283,0.18,0.976,mds,fashionmnist,7,neighborhood_hit
magnetic,0.21,0.908,0.816,0.879,0.345,0.962,0.022,0.962,0.209,0.117,0.339,0.948,0.271,0.989,0.384,0.272,0.038,0.792,mds,fashionmnist,7,neighborhood_hit
magnetic_on_rescale,0.211,0.923,0.859,0.896,0.372,0.957,0.025,0.957,0.167,0.1,0.387,0.949,0.27,0.989,0.396,0.276,0.043,0.833,mds,fashionmnist,7,neighborhood_hit
delaunay,0.186,0.97,0.936,0.957,0.5,0.923,0.044,0.923,0.079,0.04,0.496,0.939,0.44,0.992,0.212,0.461,0.077,0.92,mds,fashionmnist,7,neighborhood_hit
projnn,0.149,0.979,0.98,0.969,0.499,0.847,0.091,0.847,0.029,0.029,0.619,0.921,0.549,0.991,0.141,0.551,0.153,0.969,mds,fashionmnist,7,neighborhood_hit
truenn,0.189,0.987,0.939,0.981,0.525,0.906,0.054,0.906,0.077,0.019,0.499,0.939,0.514,0.995,0.179,0.529,0.094,0.923,mds,fashionmnist,7,neighborhood_hit
rescaled,0.176,0.964,0.99,0.959,0.642,0.837,0.101,0.837,0.032,0.037,0.83,0.793,0.332,0.989,0.233,0.38,0.163,0.967,mds,har,7,neighborhood_hit
magnetic,0.147,0.949,0.925,0.945,0.652,0.926,0.043,0.926,0.11,0.052,0.713,0.812,0.333,0.989,0.23,0.379,0.074,0.89,mds,har,7,neighborhood_hit
magnetic_on_rescale,0.147,0.949,0.925,0.945,0.652,0.926,0.043,0.926,0.109,0.052,0.713,0.812,0.333,0.989,0.23,0.379,0.074,0.89,mds,har,7,neighborhood_hit
delaunay,0.155,0.957,0.941,0.953,0.702,0.917,0.048,0.917,0.091,0.044,0.741,0.822,0.413,0.991,0.194,0.454,0.083,0.907,mds,har,7,neighborhood_hit
projnn,0.167,0.963,0.971,0.959,0.709,0.865,0.082,0.865,0.051,0.037,0.798,0.806,0.468,0.989,0.167,0.498,0.135,0.946,mds,har,7,neighborhood_hit
truenn,0.109,0.984,0.979,0.981,0.736,0.876,0.074,0.876,0.059,0.018,0.807,0.839,0.516,0.998,0.169,0.547,0.124,0.94,mds,har,7,neighborhood_hit
rescaled,0.268,0.964,0.987,0.959,0.649,0.942,0.058,0.942,0.029,0.041,0.834,0.958,0.356,0.0,0.475,0.47,0.058,0.971,tsne,usps,1,neighborhood_hit
magnetic,0.249,0.608,0.545,0.593,0.181,0.999,0.001,0.999,0.476,0.406,0.131,0.937,0.131,0.0,0.244,0.121,0.001,0.524,tsne,usps,1,neighborhood_hit
magnetic_on_rescale,0.27,0.852,0.784,0.844,0.452,0.992,0.008,0.992,0.247,0.156,0.397,0.96,0.334,0.0,0.445,0.429,0.008,0.753,tsne,usps,1,neighborhood_hit
delaunay,0.245,0.954,0.932,0.949,0.68,0.987,0.013,0.987,0.107,0.051,0.691,0.924,0.398,0.0,0.21,0.405,0.013,0.893,tsne,usps,1,neighborhood_hit
projnn,0.148,0.965,0.984,0.96,0.666,0.956,0.044,0.956,0.034,0.04,0.805,0.868,0.499,0.0,0.142,0.468,0.044,0.966,tsne,usps,1,neighborhood_hit
truenn,0.183,0.979,0.914,0.978,0.756,0.986,0.014,0.986,0.142,0.022,0.739,0.893,0.451,0.0,0.162,0.42,0.014,0.858,tsne,usps,1,neighborhood_hit
rescaled,0.189,0.973,0.988,0.961,0.401,0.943,0.057,0.943,0.02,0.039,0.657,0.931,0.282,0.0,0.337,0.295,0.057,0.98,mds,fashionmnist,1,neighborhood_hit
magnetic,0.191,0.95,0.882,0.932,0.404,0.988,0.012,0.988,0.142,0.068,0.473,0.937,0.282,0.0,0.331,0.291,0.012,0.858,mds,fashionmnist,1,neighborhood_hit
magnetic_on_rescale,0.191,0.951,0.883,0.932,0.404,0.988,0.012,0.988,0.14,0.068,0.471,0.937,0.282,0.0,0.331,0.291,0.012,0.86,mds,fashionmnist,1,neighborhood_hit
delaunay,0.163,0.974,0.951,0.964,0.485,0.98,0.02,0.98,0.065,0.036,0.543,0.934,0.483,0.0,0.18,0.495,0.02,0.935,mds,fashionmnist,1,neighborhood_hit
projnn,0.153,0.978,0.979,0.969,0.48,0.954,0.046,0.954,0.032,0.031,0.62,0.919,0.527,0.0,0.155,0.533,0.046,0.968,mds,fashionmnist,1,neighborhood_hit
truenn,0.169,0.987,0.948,0.983,0.523,0.976,0.024,0.976,0.074,0.017,0.553,0.935,0.501,0.0,0.193,0.524,0.024,0.926,mds,fashionmnist,1,neighborhood_hit
rescaled,0.139,0.986,0.99,0.974,0.653,0.63,0.239,0.63,0.017,0.022,0.666,0.913,0.714,0.99,0.104,0.707,0.37,0.982,umap,fashionmnist,21,neighborhood_hit
magnetic,0.154,0.983,0.979,0.969,0.643,0.764,0.141,0.764,0.034,0.027,0.617,0.92,0.712,0.992,0.105,0.705,0.236,0.966,umap,fashionmnist,21,neighborhood_hit
magnetic_on_rescale,0.154,0.983,0.979,0.969,0.643,0.763,0.141,0.763,0.034,0.027,0.617,0.92,0.712,0.992,0.105,0.706,0.237,0.966,umap,fashionmnist,21,neighborhood_hit
delaunay,0.121,0.984,0.986,0.97,0.573,0.661,0.215,0.661,0.021,0.025,0.651,0.906,0.694,0.989,0.1,0.686,0.339,0.977,umap,fashionmnist,21,neighborhood_hit
projnn,0.122,0.985,0.988,0.972,0.595,0.659,0.216,0.659,0.02,0.023,0.658,0.907,0.702,0.99,0.098,0.693,0.341,0.978,umap,fashionmnist,21,neighborhood_hit
truenn,0.119,0.989,0.97,0.98,0.658,0.796,0.119,0.796,0.053,0.017,0.601,0.918,0.731,0.995,0.1,0.723,0.204,0.949,umap,fashionmnist,21,neighborhood_hit
rescaled,0.115,0.929,0.981,0.92,0.428,0.911,0.052,0.911,0.047,0.074,0.781,0.91,0.129,0.998,0.47,0.171,0.089,0.95,isomap,har,7,neighborhood_hit
magnetic,0.117,0.774,0.788,0.753,0.41,0.985,0.009,0.985,0.258,0.242,0.451,0.922,0.128,0.997,0.469,0.153,0.015,0.742,isomap,har,7,neighborhood_hit
magnetic_on_rescale,0.11,0.905,0.799,0.894,0.43,0.972,0.016,0.972,0.238,0.101,0.484,0.917,0.13,0.998,0.459,0.165,0.028,0.761,isomap,har,7,neighborhood_hit
delaunay,0.117,0.937,0.92,0.928,0.557,0.953,0.026,0.953,0.123,0.067,0.652,0.87,0.355,0.993,0.211,0.375,0.047,0.876,isomap,har,7,neighborhood_hit
projnn,0.135,0.95,0.979,0.944,0.662,0.913,0.051,0.913,0.051,0.052,0.776,0.852,0.376,0.995,0.211,0.395,0.087,0.946,isomap,har,7,neighborhood_hit
truenn,0.098,0.977,0.955,0.974,0.696,0.89,0.066,0.89,0.085,0.026,0.759,0.869,0.453,0.998,0.192,0.481,0.11,0.914,isomap,har,7,neighborhood_hit
rescaled,0.051,0.954,0.967,0.947,0.611,0.716,0.284,0.716,0.091,0.053,0.809,0.608,0.407,0.0,0.515,0.464,0.284,0.909,umap,spambase,1,neighborhood_hit
magnetic,0.046,0.835,0.875,0.811,0.631,0.87,0.13,0.87,0.322,0.189,0.695,0.598,0.411,0.0,0.455,0.44,0.13,0.678,umap,spambase,1,neighborhood_hit
magnetic_on_rescale,0.048,0.876,0.885,0.859,0.619,0.868,0.132,0.868,0.29,0.141,0.687,0.608,0.411,0.0,0.48,0.452,0.132,0.71,umap,spambase,1,neighborhood_hit
delaunay,0.07,0.942,0.926,0.934,0.771,0.983,0.017,0.983,0.245,0.066,0.734,0.388,0.315,0.0,0.302,0.334,0.017,0.755,umap,spambase,1,neighborhood_hit
projnn,0.138,0.951,0.958,0.942,0.77,0.909,0.091,0.909,0.117,0.058,0.777,0.285,0.296,0.0,0.269,0.326,0.091,0.883,umap,spambase,1,neighborhood_hit
truenn,0.095,0.966,0.937,0.961,0.784,0.891,0.109,0.891,0.188,0.039,0.785,0.323,0.303,0.0,0.275,0.324,0.109,0.812,umap,spambase,1,neighborhood_hit
rescaled,0.336,0.91,0.969,0.881,0.295,0.846,0.091,0.846,0.048,0.109,0.717,0.938,0.124,0.932,0.529,0.152,0.154,0.945,umap,mnist,7,neighborhood_hit
magnetic,0.342,0.822,0.719,0.784,0.263,0.966,0.02,0.966,0.318,0.208,0.34,0.941,0.126,0.945,0.506,0.154,0.034,0.683,umap,mnist,7,neighborhood_hit
magnetic_on_rescale,0.342,0.822,0.719,0.784,0.263,0.966,0.02,0.966,0.318,0.208,0.34,0.941,0.126,0.945,0.506,0.154,0.034,0.683,umap,mnist,7,neighborhood_hit
delaunay,0.332,0.904,0.856,0.877,0.379,0.945,0.031,0.945,0.183,0.115,0.522,0.937,0.155,0.961,0.392,0.204,0.055,0.815,umap,mnist,7,neighborhood_hit
projnn,0.299,0.93,0.962,0.905,0.52,0.863,0.081,0.863,0.056,0.088,0.703,0.921,0.239,0.966,0.237,0.238,0.137,0.937,umap,mnist,7,neighborhood_hit
truenn,0.342,0.957,0.855,0.943,0.506,0.94,0.034,0.94,0.197,0.054,0.555,0.938,0.258,0.985,0.243,0.254,0.06,0.802,umap,mnist,7,neighborhood_hit
rescaled,0.283,0.975,0.99,0.97,0.658,0.895,0.105,0.895,0.019,0.03,0.823,0.905,0.451,0.0,0.157,0.424,0.105,0.981,tsne,mnist,1,neighborhood_hit
magnetic,0.3,0.971,0.968,0.966,0.647,0.974,0.026,0.974,0.052,0.034,0.699,0.913,0.45,0.0,0.158,0.425,0.026,0.948,tsne,mnist,1,neighborhood_hit
magnetic_on_rescale,0.3,0.971,0.968,0.966,0.647,0.974,0.026,0.974,0.052,0.034,0.699,0.913,0.45,0.0,0.158,0.425,0.026,0.948,tsne,mnist,1,neighborhood_hit
delaunay,0.222,0.968,0.988,0.963,0.571,0.911,0.089,0.911,0.022,0.037,0.808,0.896,0.399,0.0,0.153,0.366,0.089,0.978,tsne,mnist,1,neighborhood_hit
projnn,0.222,0.971,0.987,0.966,0.61,0.91,0.09,0.91,0.024,0.034,0.801,0.899,0.407,0.0,0.152,0.374,0.09,0.976,tsne,mnist,1,neighborhood_hit
truenn,0.273,0.979,0.907,0.976,0.668,0.984,0.016,0.984,0.145,0.024,0.648,0.919,0.451,0.0,0.162,0.434,0.016,0.855,tsne,mnist,1,neighborhood_hit
rescaled,0.339,0.878,0.957,0.848,0.328,0.827,0.1,0.827,0.082,0.136,0.666,0.835,0.165,0.984,0.597,0.314,0.173,0.917,umap,har,51,neighborhood_hit
magnetic,0.298,0.728,0.759,0.675,0.266,0.943,0.03,0.943,0.262,0.316,0.364,0.845,0.162,0.985,0.581,0.167,0.057,0.724,umap,har,51,neighborhood_hit
magnetic_on_rescale,0.298,0.728,0.759,0.675,0.266,0.943,0.03,0.943,0.262,0.316,0.364,0.845,0.162,0.985,0.581,0.167,0.057,0.724,umap,har,51,neighborhood_hit
delaunay,0.287,0.719,0.684,0.664,0.272,0.973,0.014,0.973,0.347,0.331,0.258,0.847,0.159,0.986,0.575,0.149,0.027,0.652,umap,har,51,neighborhood_hit
projnn,0.201,0.814,0.9,0.774,0.337,0.919,0.044,0.919,0.131,0.214,0.513,0.842,0.192,0.985,0.373,0.293,0.081,0.857,umap,har,51,neighborhood_hit
truenn,0.148,0.892,0.901,0.866,0.426,0.879,0.068,0.879,0.135,0.108,0.501,0.856,0.325,0.99,0.346,0.405,0.121,0.863,umap,har,51,neighborhood_hit
rescaled,0.099,0.805,0.852,0.771,0.462,0.805,0.195,0.805,0.304,0.229,0.67,1.052,-0.158,,0.947,-0.414,0.195,0.696,mds,spambase,1,neighborhood_hit
magnetic,0.079,0.696,0.8,0.657,0.526,0.899,0.101,0.899,0.414,0.343,0.594,0.566,-0.273,0.0,0.523,-0.274,0.101,0.586,mds,spambase,1,neighborhood_hit
magnetic_on_rescale,0.09,0.739,0.795,0.707,0.464,0.874,0.126,0.874,0.401,0.293,0.596,0.947,-0.149,0.0,0.907,-0.161,0.126,0.598,mds,spambase,1,neighborhood_hit
delaunay,0.091,0.624,0.742,0.585,0.467,0.999,0.001,0.999,0.48,0.415,0.518,0.952,-0.151,0.0,0.908,-0.185,0.001,0.52,mds,spambase,1,neighborhood_hit
projnn,0.079,0.729,0.757,0.703,0.589,0.986,0.014,0.986,0.457,0.297,0.541,0.53,-0.094,0.0,0.521,-0.065,0.014,0.543,mds,spambase,1,neighborhood_hit
truenn,0.071,0.85,0.789,0.837,0.604,0.984,0.016,0.984,0.435,0.163,0.596,0.612,-0.091,0.0,0.596,-0.061,0.016,0.565,mds,spambase,1,neighborhood_hit
rescaled,0.38,0.824,0.749,0.67,0.199,0.955,0.025,0.955,0.393,0.275,0.59,0.913,-0.213,0.947,0.787,-0.363,0.045,0.597,umap,reuters,21,neighborhood_hit
magnetic,0.376,0.716,0.668,0.543,0.221,0.98,0.011,0.98,0.456,0.452,0.421,0.909,-0.209,0.954,0.731,-0.276,0.02,0.531,umap,reuters,21,neighborhood_hit
magnetic_on_rescale,0.376,0.716,0.668,0.543,0.221,0.98,0.011,0.98,0.456,0.452,0.421,0.909,-0.209,0.954,0.731,-0.276,0.02,0.531,umap,reuters,21,neighborhood_hit
delaunay,0.374,0.718,0.654,0.561,0.212,0.986,0.008,0.986,0.471,0.43,0.397,0.909,-0.206,0.954,0.731,-0.22,0.014,0.527,umap,reuters,21,neighborhood_hit
projnn,0.335,0.787,0.686,0.633,0.434,0.978,0.012,0.978,0.445,0.339,0.485,0.84,-0.079,0.944,0.335,-0.121,0.022,0.553,umap,reuters,21,neighborhood_hit
truenn,0.385,0.883,0.722,0.761,0.519,0.968,0.018,0.968,0.423,0.195,0.547,0.894,-0.102,0.982,0.415,-0.178,0.032,0.571,umap,reuters,21,neighborhood_hit
rescaled,0.141,0.844,0.889,0.803,0.655,0.869,0.101,0.869,0.319,0.174,0.719,0.36,0.313,0.915,0.344,0.291,0.131,0.669,isomap,spambase,7,neighborhood_hit
magnetic,0.125,0.833,0.854,0.792,0.641,0.923,0.059,0.923,0.367,0.185,0.668,0.338,0.322,0.925,0.337,0.299,0.077,0.623,isomap,spambase,7,neighborhood_hit
magnetic_on_rescale,0.125,0.833,0.854,0.792,0.641,0.923,0.059,0.923,0.367,0.185,0.668,0.338,0.322,0.925,0.337,0.299,0.077,0.623,isomap,spambase,7,neighborhood_hit
delaunay,0.131,0.826,0.84,0.785,0.639,0.975,0.015,0.975,0.397,0.194,0.636,0.343,0.301,1.743,0.341,0.287,0.025,0.603,isomap,spambase,7,neighborhood_hit
projnn,0.159,0.854,0.879,0.817,0.677,0.952,0.029,0.952,0.356,0.163,0.701,0.29,0.305,0.927,0.289,0.314,0.048,0.637,isomap,spambase,7,neighborhood_hit
truenn,0.075,0.941,0.893,0.926,0.715,0.915,0.052,0.915,0.328,0.066,0.739,0.332,0.356,1.015,0.275,0.325,0.085,0.66,isomap,spambase,7,neighborhood_hit
rescaled,0.263,0.953,0.972,0.927,0.653,0.649,0.222,0.649,0.043,0.059,0.753,0.949,0.498,0.964,0.365,0.532,0.351,0.951,isomap,usps,51,neighborhood_hit
magnetic,0.233,0.632,0.566,0.567,0.188,0.982,0.009,0.982,0.457,0.428,0.138,0.929,0.152,0.992,0.241,0.137,0.018,0.544,isomap,usps,51,neighborhood_hit
magnetic_on_rescale,0.265,0.897,0.827,0.863,0.522,0.872,0.075,0.872,0.203,0.129,0.463,0.952,0.482,0.984,0.347,0.514,0.128,0.798,isomap,usps,51,neighborhood_hit
delaunay,0.195,0.943,0.922,0.918,0.658,0.774,0.134,0.774,0.106,0.069,0.645,0.896,0.518,0.984,0.147,0.495,0.226,0.889,isomap,usps,51,neighborhood_hit
projnn,0.136,0.944,0.949,0.918,0.642,0.721,0.171,0.721,0.058,0.067,0.688,0.86,0.529,0.975,0.134,0.5,0.279,0.922,isomap,usps,51,neighborhood_hit
truenn,0.169,0.971,0.907,0.951,0.696,0.781,0.129,0.781,0.133,0.036,0.677,0.882,0.516,0.987,0.15,0.483,0.219,0.865,isomap,usps,51,neighborhood_hit
rescaled,0.253,0.958,0.986,0.946,0.741,0.801,0.12,0.801,0.027,0.05,0.83,0.931,0.026,0.969,0.524,0.044,0.199,0.972,mds,usps,7,neighborhood_hit
magnetic,0.251,0.717,0.623,0.695,0.291,0.991,0.005,0.991,0.406,0.3,0.222,0.934,0.03,0.966,0.331,0.017,0.009,0.592,mds,usps,7,neighborhood_hit
magnetic_on_rescale,0.255,0.88,0.826,0.865,0.567,0.957,0.025,0.957,0.223,0.131,0.511,0.935,0.022,0.968,0.506,0.027,0.043,0.779,mds,usps,7,neighborhood_hit
delaunay,0.235,0.953,0.938,0.942,0.676,0.931,0.039,0.931,0.094,0.054,0.701,0.907,0.192,0.986,0.295,0.213,0.069,0.906,mds,usps,7,neighborhood_hit
projnn,0.181,0.957,0.978,0.947,0.634,0.845,0.092,0.845,0.037,0.05,0.792,0.858,0.31,0.983,0.19,0.275,0.155,0.961,mds,usps,7,neighborhood_hit
truenn,0.207,0.98,0.912,0.976,0.705,0.917,0.047,0.917,0.129,0.023,0.689,0.892,0.328,0.995,0.198,0.316,0.083,0.872,mds,usps,7,neighborhood_hit
rescaled,0.169,0.979,0.991,0.97,0.426,0.926,0.074,0.926,0.018,0.03,0.682,0.934,0.519,0.0,0.279,0.48,0.074,0.982,tsne,fashionmnist,1,neighborhood_hit
magnetic,0.178,0.935,0.858,0.921,0.428,0.987,0.013,0.987,0.16,0.079,0.405,0.94,0.519,0.0,0.27,0.475,0.013,0.839,tsne,fashionmnist,1,neighborhood_hit
magnetic_on_rescale,0.177,0.937,0.862,0.923,0.432,0.986,0.014,0.986,0.156,0.077,0.412,0.939,0.519,0.0,0.271,0.475,0.014,0.844,tsne,fashionmnist,1,neighborhood_hit
delaunay,0.167,0.97,0.948,0.962,0.569,0.987,0.013,0.987,0.08,0.038,0.569,0.933,0.567,0.0,0.213,0.534,0.013,0.92,tsne,fashionmnist,1,neighborhood_hit
projnn,0.141,0.981,0.99,0.975,0.619,0.943,0.057,0.943,0.02,0.025,0.67,0.915,0.603,0.0,0.129,0.58,0.057,0.98,tsne,fashionmnist,1,neighborhood_hit
truenn,0.159,0.989,0.965,0.985,0.626,0.972,0.028,0.972,0.061,0.015,0.61,0.932,0.653,0.0,0.15,0.645,0.028,0.939,tsne,fashionmnist,1,neighborhood_hit
rescaled,0.103,0.799,0.857,0.734,0.484,0.843,0.112,0.843,0.256,0.206,0.649,0.338,0.379,0.92,0.329,0.398,0.157,0.68,isomap,spambase,51,neighborhood_hit
magnetic,0.094,0.815,0.853,0.757,0.592,0.903,0.062,0.903,0.345,0.191,0.647,0.318,0.358,0.939,0.291,0.388,0.097,0.642,isomap,spambase,51,neighborhood_hit
magnetic_on_rescale,0.089,0.798,0.843,0.733,0.497,0.903,0.063,0.903,0.348,0.211,0.628,0.348,0.384,0.936,0.32,0.402,0.097,0.637,isomap,spambase,51,neighborhood_hit
delaunay,0.085,0.803,0.862,0.738,0.559,0.888,0.067,0.888,0.324,0.202,0.657,0.338,0.355,0.946,0.308,0.361,0.112,0.665,isomap,spambase,51,neighborhood_hit
projnn,0.117,0.822,0.881,0.764,0.69,0.866,0.082,0.866,0.275,0.181,0.68,0.286,0.338,0.935,0.278,0.364,0.134,0.698,isomap,spambase,51,neighborhood_hit
truenn,0.07,0.862,0.873,0.815,0.747,0.867,0.079,0.867,0.308,0.115,0.681,0.346,0.334,0.952,0.273,0.284,0.133,0.67,isomap,spambase,51,neighborhood_hit
rescaled,0.383,0.868,0.911,0.72,0.55,0.892,0.108,0.892,0.243,0.28,0.781,0.895,0.151,0.0,0.47,0.183,0.108,0.757,isomap,reuters,1,neighborhood_hit
